wall_clock,board_ms,seq,board_drops,pc_gaps,board_bad,board_miss,board_dspmax_us,srv_bad,free_heap,marker,event
17:26:41,1417598,0,56359,56359,0,0,0,0,173680,0,
17:26:42,1418600,0,56359,56359,0,0,0,0,175264,0,
17:26:43,1419601,0,56359,56359,0,0,0,0,165948,0,
17:26:44,1420603,0,56359,56359,0,0,0,0,173680,0,
17:26:45,1420603,30,56359,56359,0,0,0,0,173680,30,marker
17:26:45,1421605,0,56359,56359,0,0,0,0,173332,30,
17:26:45,1421605,40,56359,56359,0,0,0,0,173332,40,marker
17:26:45,1421605,0,56359,56359,0,0,0,0,173332,0,marker
17:26:46,1422607,0,56359,56359,0,0,0,0,171748,0,
17:26:47,1423613,0,56359,56359,0,0,0,0,173332,0,
17:26:48,1423613,20,56359,56359,0,0,0,0,173332,20,marker
17:26:48,1424615,0,56359,56359,0,0,0,0,175272,20,
17:26:48,1424615,0,56359,56359,0,0,0,0,175272,0,marker
17:26:49,1425616,0,56359,56359,0,0,0,0,173680,0,
17:26:50,1426617,0,56359,56359,0,0,0,0,172096,0,
17:26:51,1427619,0,56359,56359,0,0,0,0,165948,0,
17:26:52,1428621,0,56359,56359,0,0,0,0,160152,0,
17:26:53,1429630,0,56359,56359,0,0,0,0,169468,0,
17:26:54,1430632,0,56359,56359,0,0,0,0,171748,0,
17:26:55,1431635,0,56359,56359,0,0,0,0,175264,0,
17:26:56,1432637,0,56359,56359,0,0,0,0,173680,0,
17:26:57,1433639,0,56359,56359,0,0,0,0,161736,0,
17:26:58,1433639,30,56359,56359,0,0,0,0,161736,30,marker
17:26:58,1434640,0,56359,56359,0,0,0,0,173332,30,
17:26:58,1434640,0,56359,56359,0,0,0,0,173332,0,marker
17:26:59,1434640,40,56359,56359,0,0,0,0,173332,40,marker
17:26:59,1434640,0,56359,56359,0,0,0,0,173332,0,marker
17:26:59,1435647,0,56359,56359,0,0,0,0,173680,0,
17:27:00,1436649,0,56359,56359,0,0,0,0,175264,0,
17:27:01,1436649,21,56359,56359,0,0,0,0,175264,21,marker
17:27:01,1437650,0,56359,56359,0,0,0,0,173680,21,
17:27:01,1437650,0,56359,56359,0,0,0,0,173680,0,marker
17:27:02,1438652,0,56359,56359,0,0,0,0,173680,0,
17:27:03,1439654,0,56359,56359,0,0,0,0,173332,0,
17:27:04,1440655,0,56359,56359,0,0,0,0,173680,0,
17:27:05,1441656,0,56359,56359,0,0,0,0,172096,0,
17:27:06,1442658,0,56359,56359,0,0,0,0,172096,0,
17:27:07,1443660,0,56359,56359,0,0,0,0,167884,0,
17:27:08,1444662,0,56359,56359,0,0,0,0,171748,0,
