session,actual_freq,test_freq,window_sec,channel_set,n_harmonics,mean_stim,mean_rest,cohens_d,pval,accuracy
16Hz,16,16,1.5,all_8,1,2.213944917016951,1.311727865418751,0.5417750075917313,5.493859608290147e-24,0.5802469135802469
16Hz,16,16,2.0,ch_CZ,1,2.612962490280063,1.709790545184799,0.36435681646756773,0.05260867442061542,0.49382716049382713
16Hz,16,16,2.0,ch_PZ,1,2.2289193130075002,1.8767155822225412,0.13818794704964854,0.013835955705047122,0.5185185185185185
16Hz,16,16,2.0,ch_P4,1,6.45950863042714,1.3703660906210333,0.7900941151295929,3.2252857489465796e-32,0.6666666666666666
16Hz,16,16,2.0,ch_T6,1,3.624902290487423,1.5392983257753317,0.6014211309733235,6.5735593137027825e-15,0.5925925925925926
16Hz,16,16,2.0,ch_T5,1,2.4065782079139653,1.8654881888495805,0.2080268318678641,1.2906154190460265e-05,0.5679012345679012
16Hz,16,16,2.0,ch_P3,1,2.099201510349628,2.1987727863625954,-0.03567825275061948,0.15626805284679257,0.48148148148148145
16Hz,16,16,2.0,ch_O2,1,2.436815601881196,1.6195319457220845,0.3391013246677957,0.00010072953605056687,0.6419753086419753
16Hz,16,16,2.0,ch_O1,1,2.7343927420294483,1.7922723728803331,0.35108291670179154,0.00010020265859506931,0.5432098765432098
16Hz,16,16,2.0,occipital_only,1,2.585604171955322,1.705902159301209,0.42193664905073686,8.487756016601543e-08,0.6049382716049383
16Hz,16,16,2.0,parietal_only,1,2.2448996770903644,1.9803255191449056,0.16733176140970998,0.0003850152021076582,0.5925925925925926
16Hz,16,16,2.0,all_8,1,3.075410098297046,1.7465294797022874,0.7871621158348061,1.0967474479801798e-23,0.6419753086419753
